computer,chip,url
C64, basic.901226-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/basic.901226-01.bin
C64, characters.325018-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/characters.325018-02.bin
C64, kernal.901227-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/kernal.901227-01.bin
C64, kernal.901227-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/kernal.901227-02.bin
C64, kernal.901227-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/kernal.901227-03.bin
C64, kernal.sx.251104-04, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/c64/kernal.sx.251104-04.bin
VIC-20, basic.901486-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/vic20/basic.901486-01.bin
VIC-20, characters.901460-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/vic20/characters.901460-03.bin
VIC-20, kernal.901486-06, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/vic20/kernal.901486-06.bin
VIC-20, kernal.901486-07, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/vic20/kernal.901486-07.bin
PET, basic-2-c000.901465-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-2-c000.901465-01.bin
PET, basic-2-d000.901465-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-2-d000.901465-02.bin
PET, basic-4-b000.901465-19, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-4-b000.901465-19.bin
PET, basic-4-b000.901465-23, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-4-b000.901465-23.bin
PET, basic-4-c000.901465-20, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-4-c000.901465-20.bin
PET, basic-4-d000.901465-21, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/basic-4-d000.901465-21.bin
PET, characters-1.901447-08, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/characters-1.901447-08.bin
PET, characters-2.901447-10, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/characters-2.901447-10.bin
PET, edit-2-b.901474-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-2-b.901474-01.bin
PET, edit-2-n.901447-24, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-2-n.901447-24.bin
PET, edit-4-40-b-50Hz.ts, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-40-b-50Hz.ts.bin
PET, edit-4-40-b-60Hz.ts, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-40-b-60Hz.ts.bin
PET, edit-4-40-n-50Hz.901498-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-40-n-50Hz.901498-01.bin
PET, edit-4-40-n-60Hz.901499-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-40-n-60Hz.901499-01.bin
PET, edit-4-80-b-50Hz.901474-04-0283, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-80-b-50Hz.901474-04-0283.bin
PET, edit-4-80-b-50Hz.901474-04-3681, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-80-b-50Hz.901474-04-3681.bin
PET, edit-4-80-b-50Hz.901474-04_alt, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-80-b-50Hz.901474-04_alt.bin
PET, edit-4-80-b-60Hz.901474-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-80-b-60Hz.901474-03.bin
PET, edit-4-80-n_unk.bin, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-80-n_unk.bin
PET, edit-4-b.901474-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-b.901474-02.bin
PET, edit-4-n.901447-29, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/edit-4-n.901447-29.bin
PET, kernal-2.901465-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/kernal-2.901465-03.bin
PET, kernal-4.901465-22, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/kernal-4.901465-22.bin
PET, rom-1-c000.901439-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-c000.901439-01.bin
PET, rom-1-c000.901447-01, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-c000.901447-01.bin
PET, rom-1-c800.901439-05, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-c800.901439-05.bin
PET, rom-1-c800.901447-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-c800.901447-02.bin
PET, rom-1-d000.901439-02, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-d000.901439-02.bin
PET, rom-1-d000.901447-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-d000.901447-03.bin
PET, rom-1-d800.901439-06, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-d800.901439-06.bin
PET, rom-1-d800.901447-04, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-d800.901447-04.bin
PET, rom-1-e000.901439-03, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-e000.901439-03.bin
PET, rom-1-e000.901447-05, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-e000.901447-05.bin
PET, rom-1-f000.901439-04, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-f000.901439-04.bin
PET, rom-1-f000.901447-06, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-f000.901447-06.bin
PET, rom-1-f800.901439-07, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-f800.901439-07.bin
PET, rom-1-f800.901447-07, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-1-f800.901447-07.bin
PET, rom-2-c000.901439-09, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-2-c000.901439-09.bin
PET, rom-2-c000.901447-09, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-2-c000.901447-09.bin
PET, rom-3-c000.901439-13, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c000.901439-13.bin
PET, rom-3-c000.901447-20, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c000.901447-20.bin
PET, rom-3-c800.901439-14, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c800.901439-14.bin
PET, rom-3-c800.901447-21, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-c800.901447-21.bin
PET, rom-3-d000.901439-15, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d000.901439-15.bin
PET, rom-3-d000.901447-22, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d000.901447-22.bin
PET, rom-3-d800.901439-16, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d800.901439-16.bin
PET, rom-3-d800.901447-23, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-d800.901447-23.bin
PET, rom-3-e000.901439-17, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-e000.901439-17.bin
PET, rom-3-e000.901447-24, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-e000.901447-24.bin
PET, rom-3-f000.901439-18, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f000.901439-18.bin
PET, rom-3-f000.901447-25, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f000.901447-25.bin
PET, rom-3-f800.901439-19, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f800.901439-19.bin
PET, rom-3-f800.901447-26, http://www.zimmers.net/anonftp/pub/cbm/firmware/computers/pet/rom-3-f800.901447-26.bin
